episode,sentiment,homer,marge,bart,lisa,maggie
12/20,1.564516129032258,27,2,3,0,1
12/21,1.2156862745098038,6,2,0,1,0
13/01,0.898876404494382,11,9,6,5,0
13/02,0.9861111111111112,9,1,5,1,0
13/03,1.380952380952381,10,1,4,1,0
13/04,1.7230769230769232,3,0,1,1,0
13/05,0.7564102564102564,5,6,2,1,1
13/06,2.25,1,2,2,9,0
13/07,1.4107142857142858,14,6,6,1,0
13/08,1.2678571428571428,5,10,0,2,1
13/09,1.537037037037037,13,10,2,0,1
13/10,1.7291666666666667,17,24,0,1,0
13/11,1.4,3,1,10,2,2
13/12,2.0,1,0,11,0,0
13/13,0.7837837837837838,2,3,1,4,0
13/14,0.9178082191780822,2,0,2,0,0
13/15,1.1724137931034482,11,4,4,5,2
13/16,0.9,14,6,0,1,1
13/17,1.0476190476190477,18,8,7,6,6
13/18,0.8433734939759037,9,1,17,1,1
13/19,0.9125,3,2,1,0,0
13/20,1.608695652173913,2,1,9,19,1
13/21,0.9024390243902439,17,11,1,1,0
13/22,1.077922077922078,10,3,1,4,0
14/01,0.881578947368421,9,3,2,3,2
14/02,1.486842105263158,25,1,0,0,1
14/03,0.7027027027027027,0,1,24,14,1
14/04,1.25,5,8,6,6,2
14/05,0.9078947368421053,3,6,2,5,2
14/06,0.5824175824175825,17,1,5,0,1
14/07,1.5636363636363637,0,1,10,0,0
14/08,1.4027777777777777,5,1,3,26,4
14/09,0.9264705882352942,3,14,3,0,1
14/10,1.1917808219178083,10,4,1,2,0
14/11,1.3728813559322033,6,1,18,1,0
14/12,2.3333333333333335,0,0,4,22,0
14/13,1.9230769230769231,2,1,0,2,1
14/14,1.206896551724138,2,2,1,1,1
14/15,1.1884057971014492,9,2,3,2,2
14/16,1.1363636363636365,0,0,3,8,2
14/17,1.3333333333333333,22,18,3,4,1
14/18,1.1123595505617978,5,0,1,8,1
14/19,0.9436619718309859,1,4,0,2,0
14/20,1.3661971830985915,11,12,3,0,0
14/21,1.175,2,2,7,0,1
14/22,1.34375,1,1,1,2,18
15/01,1.0571428571428572,2,2,5,1,0
15/02,1.3125,15,4,4,1,1
15/03,1.6065573770491803,0,1,0,29,1
15/04,1.4193548387096775,3,5,15,0,0
15/05,1.0517241379310345,5,13,4,2,1
15/06,1.1666666666666667,7,1,4,3,1
